,al
220,"[0.10192451233938336, 0.9699]"
221,"[0.07432727837245912, 0.9766]"
222,"[0.07414485517330467, 0.9765]"
223,"[0.09427316980939358, 0.9711]"
224,"[0.08884561518654227, 0.9721]"
225,"[0.07434046072680503, 0.9766]"
226,"[0.07433265195004642, 0.9764]"
227,"[0.07525893272906542, 0.9763]"
228,"[0.07390005863420665, 0.9765]"
229,"[0.07508686876315623, 0.9763]"
230,"[0.07442013084646315, 0.9766]"
231,"[0.08486749590374529, 0.973]"
232,"[0.07377137338034809, 0.9767]"
233,"[0.07541424730792641, 0.9763]"
234,"[0.10025805073007941, 0.97]"
235,"[0.07388107459265739, 0.9769]"
236,"[0.07353647112865001, 0.977]"
237,"[0.07461619059313089, 0.9768]"
238,"[0.08347209239341319, 0.9738]"
239,"[0.0741384853783995, 0.9767]"
240,"[0.10172709565125405, 0.9697]"
241,"[0.07437009864039719, 0.9765]"
242,"[0.07340473502203822, 0.9772]"
243,"[0.0995310392929241, 0.9698]"
244,"[0.07586583520844578, 0.9765]"
245,"[0.08043992311134934, 0.9749]"
246,"[0.07328952866438776, 0.9771]"
247,"[0.07427924171369522, 0.9771]"
248,"[0.07339642756916583, 0.9772]"
249,"[0.07365570659954102, 0.9768]"
250,"[0.07601530227679759, 0.9764]"
251,"[0.10039589831121266, 0.9698]"
252,"[0.09594283184725791, 0.9711]"
253,"[0.07495190016105771, 0.9763]"
254,"[0.07423493373803794, 0.9763]"
255,"[0.09790198800414801, 0.9704]"
256,"[0.07408334003891796, 0.9763]"
257,"[0.07372317968457938, 0.9768]"
258,"[0.07463817488681525, 0.9767]"
259,"[0.10576871174573899, 0.9684]"
260,"[0.0960846278494224, 0.9707]"
261,"[0.0775327757742256, 0.976]"
262,"[0.0734680251788348, 0.9768]"
263,"[0.07415907958094031, 0.9765]"
264,"[0.083139661520347, 0.9744]"
265,"[0.07348203472923487, 0.9771]"
266,"[0.09819971518944949, 0.9702]"
267,"[0.07355746256522834, 0.9774]"
268,"[0.07361832801252603, 0.9768]"
269,"[0.08017377092801034, 0.9751]"
270,"[0.07739444273468107, 0.9762]"
271,"[0.07369927567001432, 0.9764]"
272,"[0.08131823569387198, 0.9747]"
273,"[0.07450736210383475, 0.9771]"
274,"[0.07627617210187018, 0.9762]"
275,"[0.0742654412381351, 0.9763]"
276,"[0.074062366967462, 0.9767]"
277,"[0.07389734136201441, 0.9767]"
278,"[0.07345852909646929, 0.977]"
279,"[0.0753395235074684, 0.9762]"
280,"[0.07788197262175381, 0.9759]"
281,"[0.07429175369925797, 0.9769]"
282,"[0.07347095864005387, 0.9769]"
283,"[0.07376676743961871, 0.9766]"
284,"[0.07328546976074576, 0.9767]"
285,"[0.08060232749097049, 0.9745]"
286,"[0.07937442769892514, 0.9756]"
287,"[0.07422918995320797, 0.9769]"
288,"[0.07421544137727469, 0.9763]"
289,"[0.07712766612451523, 0.9761]"
290,"[0.07417870377656072, 0.9764]"
291,"[0.07463202404119074, 0.9761]"
292,"[0.07937705844044686, 0.9753]"
293,"[0.07399831078816205, 0.9763]"
294,"[0.07396743023935705, 0.9767]"
295,"[0.07330306925121695, 0.977]"
